date,open_price
2025-08-06,176.325
2025-08-07,181.57
2025-08-08,181.55
2025-08-11,182.05
2025-08-12,182.96
2025-08-13,182.615
2025-08-14,179.75
2025-08-15,181.88
2025-08-18,180.6
2025-08-19,182.43
2025-08-20,175.165
2025-08-21,174.85
2025-08-22,172.61
2025-08-25,178.35
2025-08-26,180.055
2025-08-27,181.98
2025-08-28,180.82
2025-08-29,178.11
2025-09-02,170.0
2025-09-03,171.06
2025-09-04,170.57
2025-09-05,168.03
2025-09-08,167.55
2025-09-09,169.09
2025-09-10,176.64
2025-09-11,179.68
2025-09-12,177.77
2025-09-15,175.67
2025-09-16,177.0
2025-09-17,172.64
2025-09-18,173.98
2025-09-19,175.77
2025-09-22,175.3
2025-09-23,181.97
2025-09-24,179.77
2025-09-25,174.48
2025-09-26,178.17
2025-09-29,180.425
2025-09-30,182.08
2025-10-01,185.24
2025-10-02,189.6
2025-10-03,189.19
2025-10-06,185.5
2025-10-07,186.23
2025-10-08,186.57
2025-10-09,192.225
2025-10-10,193.505
2025-10-13,187.965
2025-10-14,184.77
2025-10-15,184.8
2025-10-16,182.23
2025-10-17,180.18
2025-10-20,183.13
2025-10-21,182.785
2025-10-22,181.14
2025-10-23,180.42
2025-10-24,183.835
2025-10-27,189.99
2025-10-28,193.05
2025-10-29,207.98
2025-10-30,205.15
2025-10-31,206.45
2025-11-03,208.08
2025-11-04,203.0
2025-11-05,198.77
2025-11-06,196.42
2025-11-07,184.9
2025-11-10,195.11
2025-11-11,195.155
2025-11-12,195.72
2025-11-13,191.05
2025-11-14,182.86
2025-11-17,185.965
2025-11-18,183.375
2025-11-19,184.79
2025-11-20,195.95
2025-11-21,181.235
2025-11-24,179.49
2025-11-25,174.91
2025-11-26,181.63
2025-11-28,179.01
2025-12-01,174.76
2025-12-02,181.76
2025-12-03,181.08
2025-12-04,181.62
2025-12-05,183.89
2025-12-08,182.64
2025-12-09,185.56
2025-12-10,184.965
2025-12-11,180.275
2025-12-12,181.11
2025-12-15,177.936
2025-12-16,176.26
2025-12-17,176.1
2025-12-18,174.53
2025-12-19,176.665
2025-12-22,183.92
2025-12-23,182.97
2025-12-24,187.94
2025-12-26,189.92
