year,hour,avg_price,avg_carbon_free_pct
2023,0,83.11058501208703,65.44337147461724
2023,1,80.20265269943594,65.51826269137793
2023,2,78.58174053182917,65.54970346494761
2023,3,81.71210153102338,65.33197582594681
2023,4,91.81251893634168,65.167964544722
2023,5,104.88118291700242,65.7307961321515
2023,6,110.76156647864626,66.97162449637389
2023,7,107.63903303787268,68.58724415793715
2023,8,98.81659145850121,70.423946817083
2023,9,91.09814020950846,71.81497340854149
2023,10,85.5415890410959,72.60505398871878
2023,11,80.65575825946817,72.93679613215149
2023,12,79.0296954069299,72.72743432715552
2023,13,83.33865108783239,71.8219435938759
2023,14,91.3707010475423,70.15841579371474
2023,15,104.2165914585012,68.01401450443191
2023,16,119.91385334407735,66.05120870265914
2023,17,133.5166301369863,64.8425527800161
2023,18,132.78553424657534,64.18756003223207
2023,19,121.17486059629331,63.79880741337631
2023,20,109.61887832393232,63.49413537469782
2023,21,100.09586946011281,63.51238195004029
2023,22,92.86967767929089,64.36177115229653
2023,23,87.25790008058019,65.16273166800967
2024,0,67.70834779813565,68.60594021215043
2024,1,65.64000803600129,68.6627756348441
2024,2,64.46643844423015,68.71879620700739
2024,3,66.83597396335583,68.53565573770491
2024,4,75.84586628093861,68.34275795564128
2024,5,86.52455159112826,68.80297332047573
2024,6,90.12078270652523,70.07382513661203
2024,7,84.44353905496624,71.9299405335905
2024,8,74.03309707489554,73.78348441015751
2024,9,65.60745740919319,75.16525393764063
2024,10,60.09729347476696,75.88353905496625
2024,11,56.92151558984249,76.08563162970106
2024,12,57.04491160398586,75.73074413371906
2024,13,62.655766634522664,74.5945162327226
2024,14,73.57531661845066,72.64512536162006
2024,15,89.78968338154935,70.29628576020572
2024,16,109.25731597557056,68.11630826100932
2024,17,125.5109900353584,66.65925425908068
2024,18,124.22016714882675,65.87262777242044
2024,19,107.69154612664738,65.61383638701382
2024,20,92.82450016072004,65.67621665059467
2024,21,82.990506268081,66.2100450016072
2024,22,76.5206075216972,67.24292671166828
2024,23,71.415787528126,68.21540822886531
