Year,Hour,Average_Price
2015,0,28.652351329572923
2015,1,27.38534730056406
2015,2,26.918365834004835
2015,3,28.173273166800968
2015,4,32.13525221595487
2015,5,37.47622884770347
2015,6,41.64180660757454
2015,7,42.74865108783239
2015,8,42.28440612409347
2015,9,41.86507493956487
2015,10,40.672520547945204
2015,11,39.09361966156325
2015,12,37.89125705076551
2015,13,37.29277195809831
2015,14,37.74971152296535
2015,15,39.70370668815471
2015,16,42.850211120064465
2015,17,45.311730862207895
2015,18,44.67952296535052
2015,19,41.57411442385173
2015,20,38.81262369057212
2015,21,35.87296857373086
2015,22,33.035854955680904
2015,23,30.470541498791295
2016,0,26.974543468081784
2016,1,25.845803027938192
2016,2,25.39850944279694
2016,3,26.38420945840487
2016,4,29.73037927267052
2016,5,34.085598564070544
2016,6,38.081592008740444
2016,7,39.435238020914625
2016,8,39.026522553457156
2016,9,38.296460121741845
2016,10,37.306616201030124
2016,11,36.13482441080069
2016,12,35.127281098798186
2016,13,34.54153113781801
2016,14,34.94084594974247
2016,15,37.124797877321676
2016,16,40.86680193538317
2016,17,44.71968003745903
2016,18,42.187917902294366
2016,19,38.30081473388481
2016,20,35.19628687373185
2016,21,32.721673169970344
2016,22,30.536224442016543
2016,23,28.554318039950065
2017,0,33.012156773211565
2017,1,31.785811263318113
2017,2,31.249514459665143
2017,3,32.33398782343988
2017,4,36.018974124809745
2017,5,41.318681887366814
2017,6,46.17311111111111
2017,7,47.80139878234399
2017,8,47.45553424657534
2017,9,46.677129375951296
2017,10,45.41080517503805
2017,11,43.758420091324204
2017,12,42.34854946727549
2017,13,42.04598782343988
2017,14,42.8144901065449
2017,15,45.508353120243534
2017,16,49.75692237442922
2017,17,52.50641400304414
2017,18,50.95700608828007
2017,19,47.110389649923896
2017,20,43.001420091324206
2017,21,39.41295129375951
2017,22,36.99950228310502
2017,23,34.87261339421614
2018,0,42.159063203723164
2018,1,40.82938898063354
2018,2,40.20004053445428
2018,3,41.47900765650803
2018,4,45.73104488815493
2018,5,51.32776459990992
2018,6,55.878204473802725
2018,7,57.42460591502777
2018,8,56.811595856478
2018,9,55.727688034829605
2018,10,54.29667767602462
2018,11,52.66074613421408
2018,12,51.320163639093224
2018,13,50.897188109893406
2018,14,51.647176099684735
2018,15,54.234547365260475
2018,16,58.74223089626182
2018,17,62.255053295301
2018,18,60.80105389581144
2018,19,56.30603963368864
2018,20,52.4946824801081
2018,21,48.881801531301605
2018,22,46.51155809066346
2018,23,44.21461873311318
2019,0,36.738408074981976
2019,1,35.35972170151406
2019,2,34.688467195385726
2019,3,35.99930353280462
2019,4,40.24969863013698
2019,5,45.613992790194665
2019,6,49.64874981975487
2019,7,50.841483777937995
2019,8,50.09289978370584
2019,9,49.066151405912045
2019,10,47.78788896899784
2019,11,46.35724873828407
2019,12,45.0197289113194
2019,13,44.8066214852199
2019,14,45.7096020187455
2019,15,48.38840230713771
2019,16,52.63855082912761
2019,17,55.877144917087236
2019,18,54.91079884643115
2019,19,51.15282912761355
2019,20,47.28780100937275
2019,21,43.41095457822638
2019,22,40.89897332372026
2019,23,38.70321557317952
2020,0,25.03193989071038
2020,1,23.752285015818234
2020,2,23.063561978717285
2020,3,24.10362812769629
2020,4,28.096209375898763
2020,5,33.12157894736842
2020,6,36.93218435432844
2020,7,37.842901926948514
2020,8,36.81275668679896
2020,9,35.770982168536094
2020,10,34.84459016393443
2020,11,33.58905234397469
2020,12,32.19828731665229
2020,13,31.958307448950247
2020,14,33.32263589301122
2020,15,36.575986482599944
2020,16,41.51275956284153
2020,17,45.33165228645384
2020,18,43.035399769916594
2020,19,38.68124245038826
2020,20,35.13155018694277
2020,21,31.780123669830314
2020,22,29.081553062985332
2020,23,26.821750071901064
2021,0,81.38096322999279
2021,1,78.05730930064887
2021,2,76.42115789473684
2021,3,79.57954722422495
2021,4,90.42256669069936
2021,5,103.7698558038933
2021,6,114.36478154289834
2021,7,116.80869935111751
2021,8,113.70344196106706
2021,9,109.72669935111753
2021,10,106.47026964671953
2021,11,102.31344772891133
2021,12,99.19548954578227
2021,13,99.8207180966114
2021,14,103.78899639509733
2021,15,112.71080317231436
2021,16,126.86196971881759
2021,17,136.38638356164384
2021,18,129.80524873828406
2021,19,116.56422062004326
2021,20,106.4081441961067
2021,21,97.05987022350396
2021,22,90.13429560201874
2021,23,85.93855803893295
2022,0,181.9295789473684
2022,1,175.82778370583992
2022,2,173.71000288392216
2022,3,182.80012833453495
2022,4,208.0877029560202
2022,5,235.41806921413124
2022,6,251.87018024513338
2022,7,246.09240951694306
2022,8,231.9389502523432
2022,9,220.2993828406633
2022,10,211.66578658976206
2022,11,202.43803028118242
2022,12,198.18143907714492
2022,13,203.6831852919971
2022,14,216.10960778658975
2022,15,239.19888392213412
2022,16,269.0534708002884
2022,17,291.086859408796
2022,18,286.08345926459987
2022,19,262.9725551550108
2022,20,241.45252198990627
2022,21,217.91136697909158
2022,22,202.1184758471521
2022,23,190.43106416726746
2023,0,80.53378803172313
2023,1,77.63376640230715
2023,2,75.98876279740446
2023,3,79.24484210526316
2023,4,89.46778803172315
2023,5,102.92171737563086
2023,6,109.2243893294881
2023,7,106.2048666186013
2023,8,97.61005191059841
2023,9,90.02446286950253
2023,10,84.5863417447729
2023,11,79.56260994953135
2023,12,77.73416149963951
2023,13,81.6945508291276
2023,14,89.42458832011536
2023,15,101.8888536409517
2023,16,117.26128478731074
2023,17,130.148193222783
2023,18,129.03948089401587
2023,19,117.68061715933669
2023,20,106.5333352559481
2023,21,97.1837548666186
2023,22,90.12540591204036
2023,23,84.60137995674116
2024,0,64.41611590451538
2024,1,62.252792637331034
2024,2,60.989614610296236
2024,3,63.51395312050619
2024,4,72.75290192694852
2024,5,83.95254385964913
2024,6,88.1620204199022
2024,7,82.55777106701179
2024,8,72.35335777969514
2024,9,64.01815070463043
2024,10,58.66710094909405
2024,11,55.42549180327869
2024,12,55.2653494391717
2024,13,60.46953839516824
2024,14,70.99302415875755
2024,15,86.27954558527466
2024,16,104.96554501006615
2024,17,120.42137043428242
2024,18,118.64563560540697
2024,19,103.00199884958298
2024,20,89.18955277538107
2024,21,79.6767299396031
2024,22,73.17061691113028
2024,23,68.0725539257981
2025,0,76.74037758211988
2025,1,74.63508296647477
2025,2,74.13314595326786
2025,3,77.35953098543854
2025,4,86.31213173044362
2025,5,97.0550626481544
2025,6,98.0907077548256
2025,7,87.5730443616661
2025,8,72.48195788758703
2025,9,61.50452029206996
2025,10,53.64646968925115
2025,11,49.31651553744269
2025,12,49.54012565800645
2025,13,55.97263712005434
2025,14,67.9037680421124
2025,15,86.67858380030566
2025,16,108.53490066225166
2025,17,126.80468840210563
2025,18,129.9556155544235
2025,19,116.08038716250637
2025,20,103.12495500084904
2025,21,92.25750382068262
2025,22,85.43446085922906
2025,23,80.24606827445652
